f_account.nm_name;f_stagehistory.f_duration;f_stagehistory.f_velocity;f_stagehistory.nm_id;f_opportunity.nm_name;f_product.nm_name;f_stage.nm_stagename
Logistic Dynamics;\N;107;4766;Logistic Dynamics > PhoenixSoft;PhoenixSoft;Closed Won
Logistic Dynamics;\N;53;4765;Logistic Dynamics > CompuSci;CompuSci;Closed Won
Logistics Support;10;65;6651;Logistics Support > CompuSci;CompuSci;Negotiation
Logistics Support;13;17;6497;Logistics Support > CompuSci;CompuSci;Discovery
Logistics Support;23;30;6756;Logistics Support > CompuSci;CompuSci;Risk Assessment
Logistics Support;\N;101;2546;Logistics Support > PhoenixSoft;PhoenixSoft;Closed Lost
Logistics Support;\N;57;4768;Logistics Support > CompuSci;CompuSci;Closed Won
Lokion;\N;99;2547;Lokion > CompuSci;CompuSci;Closed Lost
Lonesource;\N;60;4772;Lonesource > CompuSci;CompuSci;Closed Won
Lonesource;\N;95;2548;Lonesource > Grammar Plus;Grammar Plus;Closed Lost
LSFinteractive;\N;68;4781;LSFinteractive > Grammar Plus;Grammar Plus;Closed Won
LSFinteractive;\N;88;2553;LSFinteractive > CompuSci;CompuSci;Closed Lost
M&S Technologies;\N;41;4791;M&S Technologies > CompuSci;CompuSci;Closed Won
M&S Technologies;\N;56;2561;M&S Technologies > WonderKid;WonderKid;Closed Lost
M3 Glass Technologies;\N;110;4792;M3 Glass Technologies > CompuSci;CompuSci;Closed Won
M5 Networks;\N;57;2567;M5 Networks > PhoenixSoft;PhoenixSoft;Closed Lost
M5 Networks;\N;79;2566;M5 Networks > CompuSci;CompuSci;Closed Lost
Mackey & Tanner;\N;98;2570;Mackey & Tanner > CompuSci;CompuSci;Closed Lost
Mackey & Tanner;\N;99;2571;Mackey & Tanner > PhoenixSoft;PhoenixSoft;Closed Lost
Mad*Pow;\N;107;2573;Mad*Pow > WonderKid;WonderKid;Closed Lost
Mad*Pow;\N;73;2572;Mad*Pow > CompuSci;CompuSci;Closed Lost
Maga Design Group;\N;121;2574;Maga Design Group > CompuSci;CompuSci;Closed Lost
Maga Design Group;\N;96;2575;Maga Design Group > WonderKid;WonderKid;Closed Lost
Magazines.com;\N;85;2576;Magazines.com > CompuSci;CompuSci;Closed Lost
Magnuson Hotels;\N;34;4799;Magnuson Hotels > WonderKid;WonderKid;Closed Won
Magnuson Hotels;\N;75;2579;Magnuson Hotels > CompuSci;CompuSci;Closed Lost
MAIC;\N;76;4802;MAIC > CompuSci;CompuSci;Closed Won
Management Solutions;10;12;491;Management Solutions > CompuSci;CompuSci;Discovery
Management Solutions;11;30;492;Management Solutions > CompuSci;CompuSci;Short List
Management Solutions;20;65;490;Management Solutions > CompuSci;CompuSci;Conviction
Manatt, Phelps & Phillips;\N;65;4807;Manatt, Phelps & Phillips > CompuSci;CompuSci;Closed Won
Manifest Digital;\N;75;4808;Manifest Digital > CompuSci;CompuSci;Closed Won
Man-Machine Systems Assessment;\N;36;4810;Man-Machine Systems Assessment > CompuSci;CompuSci;Closed Won
Manufacturing Technical Solutions;\N;46;4814;Manufacturing Technical Solutions > CompuSci;CompuSci;Closed Won
Manufacturing Technical Solutions;\N;82;4815;Manufacturing Technical Solutions > WonderKid;WonderKid;Closed Won
Maple Systems;\N;94;2586;Maple Systems > CompuSci;CompuSci;Closed Lost
Maritime International;\N;32;4820;Maritime International > CompuSci;CompuSci;Closed Won
Market Force Information;\N;106;4825;Market Force Information > CompuSci;CompuSci;Closed Won
Market Probe;15;29;6655;Market Probe > CompuSci;CompuSci;Negotiation
Market Probe;\N;65;4826;Market Probe > CompuSci;CompuSci;Closed Won
MarketLeverage Interactive Advertising;\N;96;4833;MarketLeverage Interactive Advertising > CompuSci;CompuSci;Closed Won
Marstel-Day;16;48;496;Marstel-Day > CompuSci;CompuSci;Conviction
Marstel-Day;2;51;497;Marstel-Day > CompuSci;CompuSci;Short List
Martin Dawes Analytics;\N;59;4839;Martin Dawes Analytics > CompuSci;CompuSci;Closed Won
Martin Logistics;13;24;498;Martin Logistics > WonderKid;WonderKid;Discovery
Martin Logistics;25;71;499;Martin Logistics > WonderKid;WonderKid;Risk Assessment
Martin Logistics;\N;44;4840;Martin Logistics > CompuSci;CompuSci;Closed Won
MAS Medical Staffing;\N;90;4842;MAS Medical Staffing > CompuSci;CompuSci;Closed Won
Masterfit Medical Supply;9;25;6500;Masterfit Medical Supply > CompuSci;CompuSci;Discovery
Masterfit Medical Supply;\N;110;2592;Masterfit Medical Supply > CompuSci;CompuSci;Closed Lost
Maverick Constructors;\N;45;4850;Maverick Constructors > WonderKid;WonderKid;Closed Won
Maverick Constructors;\N;65;4849;Maverick Constructors > CompuSci;CompuSci;Closed Won
MaxEmail;\N;81;4853;MaxEmail > CompuSci;CompuSci;Closed Won
MaxVision;\N;36;4857;MaxVision > CompuSci;CompuSci;Closed Won
Mazzone Management Group;\N;73;2595;Mazzone Management Group > CompuSci;CompuSci;Closed Lost
MC Sign;\N;124;2596;MC Sign > CompuSci;CompuSci;Closed Lost
MCAD Technologies;\N;62;2597;MCAD Technologies > CompuSci;CompuSci;Closed Lost
McElvain Oil & Gas Properties;\N;88;2602;McElvain Oil & Gas Properties > CompuSci;CompuSci;Closed Lost
McGovern Physical Therapy Associates;\N;118;2605;McGovern Physical Therapy Associates > CompuSci;CompuSci;Closed Lost
McGuireWoods;\N;101;4862;McGuireWoods > CompuSci;CompuSci;Closed Won
McKinley Carter Wealth Services;28;11;503;McKinley Carter Wealth Services > CompuSci;CompuSci;Discovery
McKinley Carter Wealth Services;\N;104;4863;McKinley Carter Wealth Services > PhoenixSoft;PhoenixSoft;Closed Won
McKinley Group;\N;73;4864;McKinley Group > CompuSci;CompuSci;Closed Won
McMurry;\N;66;4867;McMurry > CompuSci;CompuSci;Closed Won
MCR;\N;39;4868;MCR > CompuSci;CompuSci;Closed Won
MD On-Line;\N;107;2610;MD On-Line > CompuSci;CompuSci;Closed Lost
MD On-Line;\N;123;2611;MD On-Line > PhoenixSoft;PhoenixSoft;Closed Lost
MED3000;\N;98;4872;MED3000 > CompuSci;CompuSci;Closed Won
MedExpress Pharmacy;\N;98;2614;MedExpress Pharmacy > CompuSci;CompuSci;Closed Lost
MediaMind;\N;75;4878;MediaMind > CompuSci;CompuSci;Closed Won
Medical Packaging;\N;95;4881;Medical Packaging > CompuSci;CompuSci;Closed Won
Medical Present Value;\N;56;4882;Medical Present Value > CompuSci;CompuSci;Closed Won
MedPro Rx;\N;108;2621;MedPro Rx > CompuSci;CompuSci;Closed Lost
MedPro Rx;\N;82;2622;MedPro Rx > WonderKid;WonderKid;Closed Lost
Medrec;18;\N;508;Medrec > CompuSci;CompuSci;Interest
MedThink Communications;\N;95;4887;MedThink Communications > CompuSci;CompuSci;Closed Won
Meeting Alliance;\N;102;4892;Meeting Alliance > CompuSci;CompuSci;Closed Won
Mellace Family Brands;\N;98;2626;Mellace Family Brands > CompuSci;CompuSci;Closed Lost
Member Solutions;\N;73;4897;Member Solutions > CompuSci;CompuSci;Closed Won
Menlo Innovations;31;\N;511;Menlo Innovations > CompuSci;CompuSci;Interest
Meridian Imaging Solutions;\N;52;2629;Meridian Imaging Solutions > CompuSci;CompuSci;Closed Lost
meridianEMR;\N;45;4911;meridianEMR > CompuSci;CompuSci;Closed Won
Metastorm;\N;102;4917;Metastorm > CompuSci;CompuSci;Closed Won
MetroStar Systems;\N;AC Lens;4920;MetroStar Systems > CompuSci;CompuSci;Closed Won
Microcom Technologies;\N;42;4921;Microcom Technologies > CompuSci;CompuSci;Closed Won
MIG;6;32;6397;MIG > CompuSci;CompuSci;Conviction
MIG;\N;53;4927;MIG > CompuSci;CompuSci;Closed Won
Miles-McClellan Construction;\N;72;2640;Miles-McClellan Construction > CompuSci;CompuSci;Closed Lost
milk + honey;11;71;6398;milk + honey > CompuSci;CompuSci;Conviction
milk + honey;9;37;6656;milk + honey > CompuSci;CompuSci;Negotiation
milk + honey;\N;82;4930;milk + honey > CompuSci;CompuSci;Closed Won
milk + honey;\N;96;4931;milk + honey > PhoenixSoft;PhoenixSoft;Closed Won
mindSHIFT Technologies;\N;90;4944;mindSHIFT Technologies > CompuSci;CompuSci;Closed Won
Miner Houston;\N;44;4947;Miner Houston > CompuSci;CompuSci;Closed Won
Miron Construction;\N;68;2649;Miron Construction > CompuSci;CompuSci;Closed Lost
Monin;\N;94;2652;Monin > CompuSci;CompuSci;Closed Lost
Moochie;\N;73;2654;Moochie > CompuSci;CompuSci;Closed Lost
Moody Nolan;\N;65;2655;Moody Nolan > CompuSci;CompuSci;Closed Lost
Moore & Van Allen;\N;90;2656;Moore & Van Allen > CompuSci;CompuSci;Closed Lost
MoreVisibility;13;49;6402;MoreVisibility > CompuSci;CompuSci;Conviction
MoreVisibility;\N;33;4976;MoreVisibility > CompuSci;CompuSci;Closed Won
Morgan Borszcz Consulting;30;81;534;Morgan Borszcz Consulting > Grammar Plus;Grammar Plus;Conviction
Morgan Borszcz Consulting;3;57;535;Morgan Borszcz Consulting > Grammar Plus;Grammar Plus;Short List
Morgan Borszcz Consulting;\N;42;4977;Morgan Borszcz Consulting > CompuSci;CompuSci;Closed Won
Mosaica Education;\N;60;4980;Mosaica Education > CompuSci;CompuSci;Closed Won
MotionPoint;28;\N;540;MotionPoint > WonderKid;WonderKid;Interest
MotionPoint;5;10;539;MotionPoint > CompuSci;CompuSci;Discovery
Motionsoft;25;16;541;Motionsoft > PhoenixSoft;PhoenixSoft;Discovery
Motionsoft;\N;115;2658;Motionsoft > CompuSci;CompuSci;Closed Lost
Mpell Solutions;\N;70;2663;Mpell Solutions > CompuSci;CompuSci;Closed Lost
Mpell Solutions;\N;88;4987;Mpell Solutions > Grammar Plus;Grammar Plus;Closed Won
MResult;\N;117;2665;MResult > CompuSci;CompuSci;Closed Lost
MSDSonline;\N;105;2667;MSDSonline > Grammar Plus;Grammar Plus;Closed Lost
MSDSonline;\N;85;4988;MSDSonline > CompuSci;CompuSci;Closed Won
MSpace;11;41;6404;MSpace > PhoenixSoft;PhoenixSoft;Conviction
MSpace;12;19;6503;MSpace > PhoenixSoft;PhoenixSoft;Discovery
MSpace;\N;48;4989;MSpace > CompuSci;CompuSci;Closed Won
MSpace;\N;50;2668;MSpace > PhoenixSoft;PhoenixSoft;Closed Lost
MTC Transformers;12;72;6405;MTC Transformers > PhoenixSoft;PhoenixSoft;Conviction
MTC Transformers;\N;97;2669;MTC Transformers > CompuSci;CompuSci;Closed Lost
MTC Transformers;\N;99;4990;MTC Transformers > PhoenixSoft;PhoenixSoft;Closed Won
MTCI;\N;74;4991;MTCI > CompuSci;CompuSci;Closed Won
My1Stop.com;12;25;550;My1Stop.com > CompuSci;CompuSci;Discovery
My1Stop.com;22;29;551;My1Stop.com > Grammar Plus;Grammar Plus;Conviction
MyCEO;\N;45;5001;MyCEO > WonderKid;WonderKid;Closed Won
MyCEO;\N;95;2673;MyCEO > CompuSci;CompuSci;Closed Lost
myMatrixx;\N;59;5002;myMatrixx > CompuSci;CompuSci;Closed Won
myMatrixx;\N;92;2674;myMatrixx > WonderKid;WonderKid;Closed Lost
Namaste Solar Electric;\N;123;2675;Namaste Solar Electric > CompuSci;CompuSci;Closed Lost
Narragansett Brewing;\N;105;5005;Narragansett Brewing > CompuSci;CompuSci;Closed Won
National Asset Recovery Services;\N;47;5008;National Asset Recovery Services > CompuSci;CompuSci;Closed Won
National Electronic Attachment;\N;109;2681;National Electronic Attachment > CompuSci;CompuSci;Closed Lost
National Energy Control;\N;42;5010;National Energy Control > CompuSci;CompuSci;Closed Won
National Link;\N;60;5012;National Link > CompuSci;CompuSci;Closed Won
National Sales & Supply;\N;74;2685;National Sales & Supply > CompuSci;CompuSci;Closed Lost
National Sales & Supply;\N;96;2686;National Sales & Supply > WonderKid;WonderKid;Closed Lost
National Trade Supply;\N;67;2687;National Trade Supply > CompuSci;CompuSci;Closed Lost
National Trade Supply;\N;74;5016;National Trade Supply > PhoenixSoft;PhoenixSoft;Closed Won
Nationwide Payment Solutions;23;\N;Vocera Communications;Nationwide Payment Solutions > CompuSci;CompuSci;Interest
Natural Way Lawn and Tree;\N;89;5020;Natural Way Lawn and Tree > CompuSci;CompuSci;Closed Won
Navarro Research and Engineering;\N;74;5023;Navarro Research and Engineering > CompuSci;CompuSci;Closed Won
Navicus;\N;56;5024;Navicus > CompuSci;CompuSci;Closed Won
nCircle;\N;98;5027;nCircle > CompuSci;CompuSci;Closed Won
Neibauer Dental;12;\N;556;Neibauer Dental > CompuSci;CompuSci;Interest
Neighborhood Diabetes;7;40;6835;Neighborhood Diabetes > CompuSci;CompuSci;Short List
Neighborhood Diabetes;\N;55;5029;Neighborhood Diabetes > CompuSci;CompuSci;Closed Won
Neighborhood Diabetes;\N;55;5030;Neighborhood Diabetes > WonderKid;WonderKid;Closed Won
Nelson Mullins Riley & Scarborough;\N;98;5032;Nelson Mullins Riley & Scarborough > CompuSci;CompuSci;Closed Won
Net Optics;\N;97;2694;Net Optics > CompuSci;CompuSci;Closed Lost
NET Systems;\N;76;2695;NET Systems > CompuSci;CompuSci;Closed Lost
Net2EZ;\N;76;2696;Net2EZ > PhoenixSoft;PhoenixSoft;Closed Lost
Net2EZ;\N;96;5038;Net2EZ > CompuSci;CompuSci;Closed Won
NETE;\N;80;5041;NETE > CompuSci;CompuSci;Closed Won
NETech;\N;111;2698;NETech > CompuSci;CompuSci;Closed Lost
NETech;\N;124;2699;NETech > WonderKid;WonderKid;Closed Lost
NetMotion Wireless;17;22;560;NetMotion Wireless > PhoenixSoft;PhoenixSoft;Discovery
NetMotion Wireless;\N;102;5042;NetMotion Wireless > CompuSci;CompuSci;Closed Won
NetPlanner Systems;\N;105;5043;NetPlanner Systems > CompuSci;CompuSci;Closed Won
NetSpend;\N;55;2703;NetSpend > CompuSci;CompuSci;Closed Lost
Nett Solutions;\N;125;2706;Nett Solutions > Grammar Plus;Grammar Plus;Closed Lost
Nett Solutions;\N;85;2705;Nett Solutions > CompuSci;CompuSci;Closed Lost
NetVision Resources;\N;75;5044;NetVision Resources > CompuSci;CompuSci;Closed Won
Network Infrastructure Technologies;21;11;561;Network Infrastructure Technologies > CompuSci;CompuSci;Discovery
Networking for Future;\N;58;5046;Networking for Future > CompuSci;CompuSci;Closed Won
Neudesic;\N;103;2712;Neudesic > CompuSci;CompuSci;Closed Lost
Neumann Systems Group;23;17;566;Neumann Systems Group > CompuSci;CompuSci;Short List
Neumann Systems Group;31;16;564;Neumann Systems Group > CompuSci;CompuSci;Discovery
Neumann Systems Group;7;149;565;Neumann Systems Group > CompuSci;CompuSci;Negotiation
NeuroNexus Technologies;\N;62;5047;NeuroNexus Technologies > CompuSci;CompuSci;Closed Won
NeuroNexus Technologies;\N;83;5048;NeuroNexus Technologies > WonderKid;WonderKid;Closed Won
New Belgium Brewing;22;33;568;New Belgium Brewing > CompuSci;CompuSci;Conviction
New Belgium Brewing;30;58;569;New Belgium Brewing > CompuSci;CompuSci;Short List
New England Medical Transcription;\N;59;5054;New England Medical Transcription > CompuSci;CompuSci;Closed Won
New England Natural Bakers;\N;33;5055;New England Natural Bakers > CompuSci;CompuSci;Closed Won
New Media Gateway;\N;51;5059;New Media Gateway > CompuSci;CompuSci;Closed Won
NewAgeSys;\N;64;2714;NewAgeSys > CompuSci;CompuSci;Closed Lost
NewsGator;\N;74;5062;NewsGator > CompuSci;CompuSci;Closed Won
Newsways Services;\N;64;2717;Newsways Services > CompuSci;CompuSci;Closed Lost
Newton Consulting;\N;105;5064;Newton Consulting > Grammar Plus;Grammar Plus;Closed Won
Newton Consulting;\N;70;5063;Newton Consulting > CompuSci;CompuSci;Closed Won
Nexcess.net;\N;103;5066;Nexcess.net > CompuSci;CompuSci;Closed Won
NikSoft Systems;\N;70;2722;NikSoft Systems > CompuSci;CompuSci;Closed Lost
NimbleUser;\N;65;5078;NimbleUser > CompuSci;CompuSci;Closed Won
Niner Bikes;\N;64;5079;Niner Bikes > CompuSci;CompuSci;Closed Won
Nitel;26;32;581;Nitel > WonderKid;WonderKid;Short List
Nitel;\N;111;2723;Nitel > CompuSci;CompuSci;Closed Lost
NitNeil Partners;15;29;583;NitNeil Partners > CompuSci;CompuSci;Risk Assessment
NitNeil Partners;16;\N;582;NitNeil Partners > CompuSci;CompuSci;Interest
NitNeil Partners;\N;46;5080;NitNeil Partners > WonderKid;WonderKid;Closed Won
nLight;\N;54;5083;nLight > CompuSci;CompuSci;Closed Won
nLogic;12;\N;586;nLogic > CompuSci;CompuSci;Interest
nLogic;\N;72;5085;nLogic > Grammar Plus;Grammar Plus;Closed Won
NMR Consulting;\N;106;5086;NMR Consulting > CompuSci;CompuSci;Closed Won
Non-Public Educational Services;7;\N;6551;Non-Public Educational Services > CompuSci;CompuSci;Interest
Non-Public Educational Services;\N;75;5088;Non-Public Educational Services > CompuSci;CompuSci;Closed Won
Norman's Gift Shops;23;33;587;Norman's Gift Shops > CompuSci;CompuSci;Short List
North Jersey Community Bank;\N;47;5090;North Jersey Community Bank > PhoenixSoft;PhoenixSoft;Closed Won
North Jersey Community Bank;\N;96;2727;North Jersey Community Bank > CompuSci;CompuSci;Closed Lost
North Wind;\N;116;2729;North Wind > CompuSci;CompuSci;Closed Lost
Northern Building Products;\N;56;5091;Northern Building Products > CompuSci;CompuSci;Closed Won
Northwest Logistics;\N;76;5095;Northwest Logistics > CompuSci;CompuSci;Closed Won
NouvEON;\N;103;5096;NouvEON > CompuSci;CompuSci;Closed Won
Nova USA Wood Products;\N;70;5098;Nova USA Wood Products > CompuSci;CompuSci;Closed Won
NPI Solutions;\N;82;5102;NPI Solutions > CompuSci;CompuSci;Closed Won
NSK;\N;47;5104;NSK > CompuSci;CompuSci;Closed Won
NSTAR Global Services;\N;87;5105;NSTAR Global Services > CompuSci;CompuSci;Closed Won
Ntiva;\N;62;5111;Ntiva > Grammar Plus;Grammar Plus;Closed Won
Ntiva;\N;66;5110;Ntiva > CompuSci;CompuSci;Closed Won
Nuclear Medicine Professionals;\N;50;2734;Nuclear Medicine Professionals > WonderKid;WonderKid;Closed Lost
Nuclear Medicine Professionals;\N;81;5112;Nuclear Medicine Professionals > CompuSci;CompuSci;Closed Won
Nutiva;\N;117;2735;Nutiva > CompuSci;CompuSci;Closed Lost
NWN;\N;68;2736;NWN > CompuSci;CompuSci;Closed Lost
O2 Fitness Clubs;\N;72;5123;O2 Fitness Clubs > CompuSci;CompuSci;Closed Won
Obtiva;22;56;590;Obtiva > CompuSci;CompuSci;Conviction
Obtiva;24;18;591;Obtiva > CompuSci;CompuSci;Discovery
Obtiva;9;92;592;Obtiva > CompuSci;CompuSci;Risk Assessment
Octagon Research Solutions;\N;79;5134;Octagon Research Solutions > CompuSci;CompuSci;Closed Won
Odyssey Systems Consulting Group;\N;42;5138;Odyssey Systems Consulting Group > WonderKid;WonderKid;Closed Won
Odyssey Systems Consulting Group;\N;69;5137;Odyssey Systems Consulting Group > CompuSci;CompuSci;Closed Won
Office Beacon;\N;92;5139;Office Beacon > CompuSci;CompuSci;Closed Won
Office Remedies;\N;60;5141;Office Remedies > WonderKid;WonderKid;Closed Won
Office Remedies;\N;85;5140;Office Remedies > CompuSci;CompuSci;Closed Won
Officescape;35;\N;593;Officescape > CompuSci;CompuSci;Interest
Officescape;\N;70;5142;Officescape > PhoenixSoft;PhoenixSoft;Closed Won
OFS Solutions;\N;103;5144;OFS Solutions > CompuSci;CompuSci;Closed Won
OMG National;12;94;6661;OMG National > CompuSci;CompuSci;Negotiation
OMG National;\N;91;5146;OMG National > CompuSci;CompuSci;Closed Won
One Source Talent;\N;100;5152;One Source Talent > CompuSci;CompuSci;Closed Won
O'Neil & Associates;\N;61;5159;O'Neil & Associates > CompuSci;CompuSci;Closed Won
OneVoice Communications;\N;100;5162;OneVoice Communications > CompuSci;CompuSci;Closed Won
OneVoice Communications;\N;61;2749;OneVoice Communications > Grammar Plus;Grammar Plus;Closed Lost
ONLC Training Centers;\N;103;2751;ONLC Training Centers > CompuSci;CompuSci;Closed Lost
Open Systems Technologies;\N;48;5169;Open Systems Technologies > CompuSci;CompuSci;Closed Won
Optimal Synthesis;\N;63;5176;Optimal Synthesis > CompuSci;CompuSci;Closed Won
OptiMech;\N;64;5177;OptiMech > CompuSci;CompuSci;Closed Won
OraMetrix;\N;40;5181;OraMetrix > CompuSci;CompuSci;Closed Won
OraMetrix;\N;45;5182;OraMetrix > Grammar Plus;Grammar Plus;Closed Won
OSAM Document Solutions;\N;70;2756;OSAM Document Solutions > CompuSci;CompuSci;Closed Lost
Oskar Blues Brewery;10;91;6663;Oskar Blues Brewery > PhoenixSoft;PhoenixSoft;Negotiation
Oskar Blues Brewery;14;\N;599;Oskar Blues Brewery > CompuSci;CompuSci;Interest
Oskar Blues Brewery;15;21;6505;Oskar Blues Brewery > PhoenixSoft;PhoenixSoft;Discovery
Oskar Blues Brewery;20;31;600;Oskar Blues Brewery > CompuSci;CompuSci;Risk Assessment
Oskar Blues Brewery;\N;100;5189;Oskar Blues Brewery > PhoenixSoft;PhoenixSoft;Closed Won
Outdoor Motor Sports;\N;110;5191;Outdoor Motor Sports > CompuSci;CompuSci;Closed Won
Outskirts Press;19;\N;604;Outskirts Press > CompuSci;CompuSci;Interest
Outskirts Press;\N;77;5194;Outskirts Press > PhoenixSoft;PhoenixSoft;Closed Won
Ovations Food Services;\N;92;5197;Ovations Food Services > CompuSci;CompuSci;Closed Won
Overture Partners;\N;43;5199;Overture Partners > CompuSci;CompuSci;Closed Won
Oxford Lending Group;\N;114;2762;Oxford Lending Group > PhoenixSoft;PhoenixSoft;Closed Lost
Oxford Lending Group;\N;80;2761;Oxford Lending Group > CompuSci;CompuSci;Closed Lost
P & C Construction;\N;50;2763;P & C Construction > CompuSci;CompuSci;Closed Lost
P & C Construction;\N;86;5200;P & C Construction > Grammar Plus;Grammar Plus;Closed Won
Pace Computer Solutions;\N;77;5204;Pace Computer Solutions > CompuSci;CompuSci;Closed Won
Pacific Software Publishing;\N;37;5207;Pacific Software Publishing > CompuSci;CompuSci;Closed Won
Paciugo Italian Gelato;23;\N;607;Paciugo Italian Gelato > CompuSci;CompuSci;Interest
Paciugo Italian Gelato;\N;110;2764;Paciugo Italian Gelato > PhoenixSoft;PhoenixSoft;Closed Lost
Pactimo;\N;118;2766;Pactimo > Grammar Plus;Grammar Plus;Closed Lost
Pactimo;\N;61;2765;Pactimo > CompuSci;CompuSci;Closed Lost
Padilla Construction Services;\N;114;2767;Padilla Construction Services > CompuSci;CompuSci;Closed Lost
Pallet Central Enterprises;\N;99;2768;Pallet Central Enterprises > CompuSci;CompuSci;Closed Lost
Palm Beach Tan;\N;71;5210;Palm Beach Tan > CompuSci;CompuSci;Closed Won
Pandigital;21;15;608;Pandigital > WonderKid;WonderKid;Discovery
Pandigital;\N;55;5211;Pandigital > CompuSci;CompuSci;Closed Won
Pangea3;\N;53;5213;Pangea3 > CompuSci;CompuSci;Closed Won
Pangea3;\N;64;5214;Pangea3 > Grammar Plus;Grammar Plus;Closed Won
Paragon Corporate Housing;15;53;610;Paragon Corporate Housing > CompuSci;CompuSci;Conviction
Paragon Corporate Housing;20;19;611;Paragon Corporate Housing > CompuSci;CompuSci;Discovery
Paragon Corporate Housing;8;39;612;Paragon Corporate Housing > CompuSci;CompuSci;Short List
Paragon Space Development;\N;57;5218;Paragon Space Development > CompuSci;CompuSci;Closed Won
Paragon Space Development;\N;83;2769;Paragon Space Development > PhoenixSoft;PhoenixSoft;Closed Lost
Paramount Technologies;\N;68;5219;Paramount Technologies > CompuSci;CompuSci;Closed Won
Pariveda Solutions;\N;110;2772;Pariveda Solutions > PhoenixSoft;PhoenixSoft;Closed Lost
Pariveda Solutions;\N;68;5221;Pariveda Solutions > CompuSci;CompuSci;Closed Won
Passport Health;\N;92;5233;Passport Health > CompuSci;CompuSci;Closed Won
Passport Health Communications;\N;37;5234;Passport Health Communications > CompuSci;CompuSci;Closed Won
Passport Health Communications;\N;87;5235;Passport Health Communications > WonderKid;WonderKid;Closed Won
Patel Consultants;\N;71;5236;Patel Consultants > CompuSci;CompuSci;Closed Won
Pathmark Transportation;\N;108;5237;Pathmark Transportation > CompuSci;CompuSci;Closed Won
PatioShoppers.com;\N;106;2778;PatioShoppers.com > CompuSci;CompuSci;Closed Lost
Patrick Henry Creative Promotions;\N;107;5238;Patrick Henry Creative Promotions > CompuSci;CompuSci;Closed Won
Patterson Belknap Webb & Tyler;11;19;6506;Patterson Belknap Webb & Tyler > CompuSci;CompuSci;Discovery
Patterson Belknap Webb & Tyler;9;71;6408;Patterson Belknap Webb & Tyler > CompuSci;CompuSci;Conviction
Patterson Belknap Webb & Tyler;\N;106;5239;Patterson Belknap Webb & Tyler > CompuSci;CompuSci;Closed Won
Paul, Hastings, Janofsky & Walker;\N;66;5241;Paul, Hastings, Janofsky & Walker > CompuSci;CompuSci;Closed Won
Paul, Weiss, Rifkind, Wharton & Garrison;\N;98;5242;Paul, Weiss, Rifkind, Wharton & Garrison > CompuSci;CompuSci;Closed Won
PayFlex Systems USA;29;12;618;PayFlex Systems USA > PhoenixSoft;PhoenixSoft;Discovery
PayFlex Systems USA;5;10;617;PayFlex Systems USA > CompuSci;CompuSci;Discovery
Paylocity;\N;79;2781;Paylocity > CompuSci;CompuSci;Closed Lost
PCD Group;\N;48;5251;PCD Group > CompuSci;CompuSci;Closed Won
PCN Network;\N;74;5252;PCN Network > CompuSci;CompuSci;Closed Won
Pegasus Auto Racing Supplies;\N;54;5257;Pegasus Auto Racing Supplies > CompuSci;CompuSci;Closed Won
Pelican Products;\N;83;2785;Pelican Products > CompuSci;CompuSci;Closed Lost
Peloton Advantage;\N;85;5258;Peloton Advantage > CompuSci;CompuSci;Closed Won
Pensco Trust;\N;42;5259;Pensco Trust > CompuSci;CompuSci;Closed Won
Pentec Health;\N;103;5260;Pentec Health > CompuSci;CompuSci;Closed Won
PeopleAdmin;\N;110;5262;PeopleAdmin > CompuSci;CompuSci;Closed Won
PeopleTec;\N;102;5267;PeopleTec > CompuSci;CompuSci;Closed Won
PepperDash Technology;\N;47;5268;PepperDash Technology > CompuSci;CompuSci;Closed Won
PERI;\N;63;5273;PERI > CompuSci;CompuSci;Closed Won
Perimeter E-Security;\N;75;5274;Perimeter E-Security > CompuSci;CompuSci;Closed Won
Perimeter Technology;\N;63;5275;Perimeter Technology > CompuSci;CompuSci;Closed Won
Peritus;\N;104;2789;Peritus > CompuSci;CompuSci;Closed Lost
Petrus Brands;\N;51;5284;Petrus Brands > CompuSci;CompuSci;Closed Won
PetSafe;\N;68;2794;PetSafe > CompuSci;CompuSci;Closed Lost
Pfister Energy;\N;55;5285;Pfister Energy > CompuSci;CompuSci;Closed Won
Phillips Painting;\N;56;5295;Phillips Painting > CompuSci;CompuSci;Closed Won
Phoenix Integration;\N;77;5296;Phoenix Integration > CompuSci;CompuSci;Closed Won
Photon Infotech;\N;41;5300;Photon Infotech > CompuSci;CompuSci;Closed Won
Picis;\N;69;5304;Picis > CompuSci;CompuSci;Closed Won
Picture Marketing;\N;107;5305;Picture Marketing > CompuSci;CompuSci;Closed Won
Picture Marketing;\N;108;5306;Picture Marketing > Grammar Plus;Grammar Plus;Closed Won
Pinnacle Technical Resources;22;\N;635;Pinnacle Technical Resources > CompuSci;CompuSci;Interest
Pinnacle Technical Resources;30;15;634;Pinnacle Technical Resources > CompuSci;CompuSci;Discovery
Piston Group;\N;72;5312;Piston Group > CompuSci;CompuSci;Closed Won
Pixeled Business Systems;\N;103;5314;Pixeled Business Systems > Grammar Plus;Grammar Plus;Closed Won
Pixeled Business Systems;\N;80;2799;Pixeled Business Systems > CompuSci;CompuSci;Closed Lost
Plan B Technologies;\N;96;5318;Plan B Technologies > CompuSci;CompuSci;Closed Won
